acc,assay_type,center_name,consent,experiment,sample_name,instrument,librarylayout,libraryselection,librarysource,platform,sample_acc,biosample,organism,sra_study,releasedate,bioproject,mbytes,loaddate,avgspotlen,mbases,insertsize,library_name,biosamplemodel_sam,collection_date_sam...25,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,ena_first_public_run,ena_last_update_run,sample_name_sam,datastore_filetype,datastore_provider,datastore_region,run_file_version,sex_calc,bases,bytes,run_file_create_date,age_sam,biomaterial_provider_sam,collected_by_sam,collection_date_sam...43,label_sam,project_name_sam,replicate_sam_ss_dpl121,tissue_type_sam_s_dpl410,primary_search,dev_stage_sam,isolate_sam_ss_dpl100,strain_sam_ss_dpl139,tissue_sam_ss_dpl145,treatment_sam_ss_dpl55,common_name_sam,ena_first_public_sam,ena_last_update_sam,external_id_sam,insdc_center_alias_sam,insdc_center_name_sam,insdc_first_public_sam,insdc_last_update_sam,insdc_status_sam,submitter_id_sam,geo_accession_exp,diet_sam,source_name_sam,virus_sam,sample_type_inferred
TRANSCRIPTOMIC,ILLUMINA,DRS062489,SAMD00116789,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,29,,50,57,,,[],2017-11-17,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_GFP_53],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,57167262,31292003.0,2018-05-08T00:10:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-11-17,GFP knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 8,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,DRS062486,SAMD00116786,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,24,,50,47,,,[],2017-10-24,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_GFP_25],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,47817100,26181265.0,2018-05-08T00:10:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-10-24,GFP knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 5,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,DRS062491,SAMD00116791,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,21,,50,40,,,[],2017-10-24,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_GFP_9],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,40777932,22817411.0,2018-05-08T00:11:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-10-24,GFP knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 10,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,DRS062478,SAMD00116778,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,31,,50,61,,,[],2017-11-17,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_Dsx_54],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,61165597,33307101.0,2018-05-08T00:09:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-11-17,Dsx knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 7,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,DRS062472,SAMD00116772,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,22,,50,43,,,[],2017-10-24,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_Dsx_11],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,43428131,24069605.0,2018-05-08T00:10:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-10-24,Dsx knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 1,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,DRS062484,SAMD00116784,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,24,,50,45,,,[],2017-10-24,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_GFP_13],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,45029309,25446234.0,2018-05-08T00:10:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-10-24,GFP knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 3,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,DRS062480,SAMD00116780,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,25,,50,47,,,[],2017-11-17,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_Dsx_61],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,47915909,26541558.0,2018-05-08T00:08:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-11-17,Dsx knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 9,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,SRS1603208,SAMN05508597,Apis mellifera,SRP080981,2016-12-20 00:00:00.000000 UTC,PRJNA336281,861,,180,1299,,,[Model organism or animal],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,1299926700,903350796.0,2016-08-05T07:14:00.000Z,,,,,,,,,336281,forager,11,mellifera,abdomen,TRMT3,,,,,,,,,,,,,,,,,,"abdomen, forager"
TRANSCRIPTOMIC,ILLUMINA,DRS062477,SAMD00116777,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,28,,50,51,,,[],2017-11-17,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_Dsx_46],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,51418133,29718662.0,2018-05-08T00:11:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-11-17,Dsx knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 6,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,DRS062487,SAMD00116787,Apis mellifera,DRP004203,2018-05-08 00:00:00.000000 UTC,PRJDB6980,21,,50,41,,,[],2017-10-24,Japan,Asia,[Japan:Okinawa, OIST],[],[],[Am_GFP_26],[run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,41785983,22841187.0,2018-05-08T00:10:00.000Z,10 days,Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology,Velasque, M.,2017-10-24,GFP knockdown,Doublesex regulates reproductive division of labour in honey bees,biological replicate 6,Whole abdomen,454588,,,,,,,,,,,,,,,,,,,,abdomen
TRANSCRIPTOMIC,ILLUMINA,SRS1603227,SAMN05508613,Apis mellifera,SRP080981,2016-12-20 00:00:00.000000 UTC,PRJNA336281,785,,180,1236,,,[Model organism or animal],,,,[],[],[],[],[fastq,run.zq,sra],[gs,ncbi,s3],[gs.us-east1,ncbi.public,s3.us-east-1],1,female,1236100860,823985254.0,2016-08-05T09:16:00.000Z,,,,,,,,,336281,forager,9,mellifera,abdomen,TRMT4,,,,,,,,,,,,,,,,,,"abdomen, forager"
